imgpath,height,width,hpix,wpix,labelpath
/usr/UNet-try/train/case123/case123_day20/scans/slice_0082_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0082.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0083_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0083.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0084_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0084.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0085_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0085.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0086_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0086.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0087_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0087.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0088_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0088.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0089_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0089.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0090_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0090.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0091_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0091.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0092_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0092.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0093_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0093.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0094_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0094.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0095_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0095.png
/usr/UNet-try/train/case123/case123_day20/scans/slice_0096_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day20_slice_0096.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0083_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0083.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0084_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0084.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0085_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0085.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0086_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0086.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0087_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0087.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0088_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0088.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0089_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0089.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0090_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0090.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0091_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0091.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0092_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0092.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0093_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0093.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0094_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0094.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0095_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0095.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0096_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0096.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0097_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0097.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0098_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0098.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0099_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0099.png
/usr/UNet-try/train/case123/case123_day22/scans/slice_0100_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day22_slice_0100.png
/usr/UNet-try/train/case123/case123_day0/scans/slice_0071_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day0_slice_0071.png
/usr/UNet-try/train/case123/case123_day0/scans/slice_0072_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day0_slice_0072.png
/usr/UNet-try/train/case123/case123_day0/scans/slice_0073_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day0_slice_0073.png
/usr/UNet-try/train/case123/case123_day0/scans/slice_0074_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day0_slice_0074.png
/usr/UNet-try/train/case123/case123_day0/scans/slice_0075_266_266_1.50_1.50.png,266,266,1.5,1.5,/usr/UNet-try/label/case123_day0_slice_0075.png
